	t	x	y
	217	2.47029e+06	5.38243
	218	2.59639e+06	5.41277
	219	2.72659e+06	5.44482
	220	2.86079e+06	5.47867
	221	2.99888e+06	5.5144
	222	3.14071e+06	5.55209
	223	3.28609e+06	5.59181
	224	3.43484e+06	5.63366
	225	3.58672e+06	5.67772
	226	3.7415e+06	5.72407
	227	3.89889e+06	5.7728
	228	4.05861e+06	5.82399
	229	4.22034e+06	5.87773
	230	4.38377e+06	5.93412
	231	4.54854e+06	5.99322
	232	4.71431e+06	6.05514
	233	4.88071e+06	6.11995
	234	5.04737e+06	6.18774
	235	5.21393e+06	6.2586
	236	5.38002e+06	6.3326
	237	5.54526e+06	6.40984
	238	5.7093e+06	6.4904
	239	5.8718e+06	6.57435
	240	6.03242e+06	6.66177
	241	6.19085e+06	6.75275
	242	6.34678e+06	6.84735
	243	6.49993e+06	6.94567
	244	6.65004e+06	7.04777
	245	6.79689e+06	7.15373
	246	6.94026e+06	7.26362
	247	7.07997e+06	7.37751
	248	7.21585e+06	7.49549
	249	7.34778e+06	7.61761
	250	7.47564e+06	7.74396
	251	7.59934e+06	7.8746
	252	7.71883e+06	8.0096
	253	7.83406e+06	8.14904
	254	7.94502e+06	8.29299
	255	8.0517e+06	8.44153
	256	8.15412e+06	8.59471
	257	8.25233e+06	8.75262
	258	8.34636e+06	8.91534
	259	8.43629e+06	9.08294
	260	8.52219e+06	9.25549
	261	8.60414e+06	9.43307
	262	8.68225e+06	9.61577
	263	8.75661e+06	9.80366
	264	8.82733e+06	9.99684
	265	8.89454e+06	10.1954
	266	8.95834e+06	10.3994
	267	9.01885e+06	10.6089
	268	9.07621e+06	10.8241
	269	9.13053e+06	11.045
	270	9.18193e+06	11.2717
	271	9.23058e+06	8.05309
	272	9.27655e+06	8.2202
	273	9.31998e+06	8.39161
	274	9.36097e+06	8.56739
	275	9.39964e+06	8.74763
	276	9.43611e+06	8.9324
	277	9.47048e+06	9.12179
	278	9.50286e+06	9.31589
	279	9.53335e+06	9.51478
	280	9.56205e+06	9.71855
	281	9.58905e+06	9.9273
	282	9.61445e+06	10.1411
	283	9.63833e+06	10.3601
	284	9.66077e+06	10.5844
	285	9.68186e+06	10.814
	286	9.70167e+06	11.0491
	287	9.72027e+06	11.2898
	288	9.73774e+06	11.5363
	289	9.75413e+06	11.7885
	290	9.76951e+06	12.0467
	291	9.78395e+06	12.3109
	292	9.79749e+06	12.5813
	293	9.81018e+06	12.858
	294	9.82209e+06	13.1412
	295	9.83325e+06	13.431
	296	9.84371e+06	13.7274
	297	9.85351e+06	14.0308
	298	9.86269e+06	14.3411
	299	9.8713e+06	14.6586
	300	9.87936e+06	14.9833
	301	9.88691e+06	15.3156
	302	9.89398e+06	15.6554
	303	9.9006e+06	16.003
	304	9.9068e+06	16.3586
	305	9.9126e+06	16.7223
	306	9.91803e+06	17.0943
	307	9.92311e+06	17.4748
	308	9.92786e+06	17.8639
	309	9.93231e+06	18.2619
	310	9.93647e+06	18.6689
	311	9.94036e+06	19.0852
	312	9.944e+06	19.5109
	313	9.94741e+06	19.9462
	314	9.95059e+06	20.3914
	315	9.95356e+06	20.8467
	316	9.95634e+06	21.3122
	317	9.95894e+06	21.7883
	318	9.96137e+06	22.2752
	319	9.96363e+06	22.773
	320	9.96575e+06	23.282
	321	9.96772e+06	23.8026
	322	9.96957e+06	24.3348
	323	9.97129e+06	24.8791
	324	9.97289e+06	25.4356
	325	9.97439e+06	26.0047
	326	9.97578e+06	26.5865
	327	9.97708e+06	27.1815
	328	9.97829e+06	27.7898
	329	9.97942e+06	28.4118
	330	9.98046e+06	29.0478
	331	9.98144e+06	29.6981
	332	9.98234e+06	30.363
	333	9.98318e+06	31.0428
	334	9.98396e+06	31.7379
	335	9.98469e+06	32.4486
	336	9.98535e+06	33.1752
	337	9.98597e+06	33.9182
	338	9.98655e+06	34.6778
	339	9.98707e+06	35.4544
	340	9.98756e+06	36.2485
	341	9.98801e+06	37.0604
	342	9.98842e+06	37.8904
	343	9.98879e+06	38.7391
	344	9.98914e+06	39.6068
	345	9.98945e+06	40.494
	346	9.98973e+06	41.401
	347	9.98999e+06	42.3283
	348	9.99022e+06	43.2764
	349	9.99043e+06	44.2458
	350	9.99061e+06	45.2368
	351	9.99077e+06	46.25
	352	9.99092e+06	47.2859
	353	9.99104e+06	48.345
	354	9.99114e+06	49.4278
	355	9.99123e+06	50.5348
	356	9.9913e+06	51.6666
	357	9.99136e+06	52.8237
	358	9.9914e+06	54.0067
	359	9.99142e+06	55.2162
	360	9.99144e+06	56.4527
	361	9.9916e+06	40.4022
	362	9.99175e+06	41.3073
	363	9.99188e+06	42.2328
	364	9.99199e+06	43.1789
	365	9.99208e+06	44.1462
	366	9.99216e+06	45.1352
	367	9.99222e+06	46.1463
	368	9.99227e+06	47.18
	369	9.99231e+06	48.2369
	370	9.99233e+06	49.3174
	371	9.99235e+06	50.4221
	372	9.99235e+06	51.5515
	373	9.99234e+06	52.7061
	374	9.99231e+06	53.8866
	375	9.99228e+06	55.0935
	376	9.99224e+06	56.3273
	377	9.99219e+06	57.5888
	378	9.99213e+06	58.8784
	379	9.99206e+06	60.1968
	380	9.99198e+06	61.5448
	381	9.9919e+06	62.9228
	382	9.99181e+06	64.3316
	383	9.9917e+06	65.7719
	384	9.9916e+06	67.2444
	385	9.99148e+06	68.7497
	386	9.99136e+06	70.2887
	387	9.99123e+06	71.862
	388	9.99109e+06	73.4704
	389	9.99094e+06	75.1148
	390	9.99079e+06	76.7958
	391	9.99064e+06	78.5144
	392	9.99047e+06	80.2713
	393	9.9903e+06	82.0673
	394	9.99012e+06	83.9035
	395	9.98994e+06	85.7806
	396	9.98975e+06	87.6996
	397	9.98955e+06	89.6613
	398	9.98935e+06	91.6668
	399	9.98914e+06	93.7169
	400	9.98892e+06	95.8128
	401	9.9887e+06	97.9553
	402	9.98847e+06	100.146
	403	9.98823e+06	102.385
	404	9.98799e+06	104.674
	405	9.98774e+06	107.013
	406	9.98748e+06	109.405
	407	9.98722e+06	111.851
	408	9.98695e+06	114.35
	409	9.98667e+06	116.905
	410	9.98638e+06	119.517
	411	9.98609e+06	122.188
	412	9.98579e+06	124.917
	413	9.98549e+06	127.707
	414	9.98517e+06	130.559
	415	9.98485e+06	133.475
	416	9.98452e+06	136.455
	417	9.98418e+06	139.502
	418	9.98384e+06	142.616
	419	9.98348e+06	145.799
	420	9.98312e+06	149.053
	421	9.98275e+06	152.379
	422	9.98237e+06	155.779
	423	9.98198e+06	159.254
	424	9.98158e+06	162.806
	425	9.98118e+06	166.437
	426	9.98076e+06	170.148
	427	9.98034e+06	173.942
	428	9.9799e+06	177.819
	429	9.97946e+06	181.783
	430	9.979e+06	185.834
	431	9.97853e+06	189.975
	432	9.97806e+06	194.207
	433	9.97757e+06	198.533
	434	9.97707e+06	202.954
	435	9.97656e+06	207.473
	436	9.97604e+06	212.092
	437	9.97551e+06	216.812
	438	9.97497e+06	221.637
	439	9.97441e+06	226.569
	440	9.97384e+06	231.609
	441	9.97326e+06	236.76
	442	9.97266e+06	242.024
	443	9.97205e+06	247.405
	444	9.97143e+06	252.904
	445	9.9708e+06	258.524
	446	9.97015e+06	264.267
	447	9.96948e+06	270.137
	448	9.9688e+06	276.136
	449	9.96811e+06	282.266
	450	9.9674e+06	288.531
	451	9.96752e+06	206.465
	452	9.96759e+06	211.057
	453	9.96761e+06	215.751
	454	9.96758e+06	220.549
	455	9.96751e+06	225.452
	456	9.96739e+06	230.464
	457	9.96723e+06	235.587
	458	9.96704e+06	240.823
	459	9.9668e+06	246.174
	460	9.96653e+06	251.642
	461	9.96622e+06	257.232
	462	9.96588e+06	262.944
	463	9.9655e+06	268.782
	464	9.96509e+06	274.749
	465	9.96464e+06	280.846
	466	9.96417e+06	287.078
	467	9.96367e+06	293.446
	468	9.96313e+06	299.954
	469	9.96257e+06	306.605
	470	9.96197e+06	313.402
	471	9.96135e+06	320.347
	472	9.9607e+06	327.445
	473	9.96002e+06	334.698
	474	9.95932e+06	342.109
	475	9.95859e+06	349.682
	476	9.95783e+06	357.421
	477	9.95704e+06	365.328
	478	9.95623e+06	373.408
	479	9.95539e+06	381.664
	480	9.95452e+06	390.1
	481	9.95362e+06	398.72
	482	9.9527e+06	407.526
	483	9.95175e+06	416.525
	484	9.95078e+06	425.718
