	t	x	y
	235	9.37921e+06	12.0645
	236	9.41681e+06	12.3187
	237	9.45226e+06	12.5794
	238	9.48566e+06	12.8465
	239	9.51712e+06	13.1203
	240	9.54674e+06	13.4008
	241	9.57462e+06	12.3193
	242	9.60085e+06	12.5842
	243	9.62552e+06	12.8556
	244	9.64871e+06	13.1335
	245	9.6705e+06	13.4181
	246	9.69097e+06	13.7094
	247	9.7102e+06	14.0078
	248	9.72825e+06	14.3132
	249	9.7452e+06	14.6258
	250	9.76111e+06	14.9458
	251	9.77603e+06	15.2733
	252	9.79003e+06	15.6085
	253	9.80316e+06	15.9515
	254	9.81547e+06	16.3026
	255	9.82701e+06	16.6617
	256	9.83783e+06	17.0293
	257	9.84797e+06	17.4053
	258	9.85747e+06	17.79
	259	9.86637e+06	18.1836
	260	9.8747e+06	18.5862
	261	9.88251e+06	18.9981
	262	9.88982e+06	19.4194
	263	9.89667e+06	19.8504
	264	9.90308e+06	20.2913
	265	9.90907e+06	20.7422
	266	9.91469e+06	21.2034
	267	9.91994e+06	21.6751
	268	9.92486e+06	22.1576
	269	9.92945e+06	22.651
	270	9.93375e+06	23.1556
	271	9.9378e+06	21.3046
	272	9.94158e+06	21.7796
	273	9.94512e+06	22.2654
	274	9.94842e+06	22.7622
	275	9.95151e+06	23.2703
	276	9.9544e+06	23.7898
	277	9.95709e+06	24.3211
	278	9.95961e+06	24.8644
	279	9.96197e+06	25.42
	280	9.96416e+06	25.9881
	281	9.96621e+06	26.569
	282	9.96813e+06	27.163
	283	9.96991e+06	27.7704
	284	9.97158e+06	28.3914
	285	9.97313e+06	29.0265
	286	9.97457e+06	29.6758
	287	9.97592e+06	30.3397
	288	9.97717e+06	31.0186
	289	9.97834e+06	31.7127
	290	9.97942e+06	32.4225
	291	9.98043e+06	33.1482
	292	9.98137e+06	33.8901
	293	9.98224e+06	34.6488
	294	9.98304e+06	35.4245
	295	9.98379e+06	36.2175
	296	9.98448e+06	37.0284
	297	9.98512e+06	37.8575
	298	9.9857e+06	38.7052
