	t	x	y
	0	1000	10
	1	965.558	9.99996
	2	928.741	9.99992
	3	889.386	9.99988
	4	847.317	9.99984
	5	802.347	9.99979
	6	754.276	9.99975
	7	702.891	9.9997
	8	647.963	9.99966
	9	589.246	9.99961
	10	526.481	9.99956
	11	459.388	9.99951
	12	387.668	9.99946
	13	311.002	9.9994
	14	229.049	9.99935
	15	141.443	9.99929
	16	47.7967	9.99923
	17	0	9.99917
	18	0	9.99911
	19	0	9.99904
	20	0	9.99898
	21	0	9.99892
	22	0	9.99886
	23	0	9.9988
	24	0	9.99874
	25	0	9.99867
	26	0	9.99861
	27	0	9.99855
	28	0	9.99849
	29	0	9.99843
	30	0	9.99836
	31	0	9.9983
	32	0	9.99824
	33	0	9.99818
	34	0	9.99812
	35	0	9.99806
	36	0	9.99799
	37	0	9.99793
	38	0	9.99787
	39	0	9.99781
	40	0	9.99775
	41	0	9.99769
	42	0	9.99762
	43	0	9.99756
	44	0	9.9975
	45	0	9.99744
	46	0	9.99738
	47	0	9.99731
	48	0	9.99725
	49	0	9.99719
	50	0	9.99713
	51	0	9.99707
	52	0	9.99701
	53	0	9.99694
	54	0	9.99688
	55	0	9.99682
	56	0	9.99676
	57	0	9.9967
	58	0	9.99664
	59	0	9.99657
	60	0	9.99651
	61	0	9.99645
	62	0	9.99639
	63	0	9.99633
	64	0	9.99627
	65	0	9.9962
	66	0	9.99614
	67	0	9.99608
	68	0	9.99602
	69	0	9.99596
	70	0	9.99589
	71	0	9.99583
	72	0	9.99577
	73	0	9.99571
	74	0	9.99565
	75	0	9.99559
	76	0	9.99552
	77	0	9.99546
	78	0	9.9954
	79	0	9.99534
	80	0	9.99528
	81	0	9.99522
	82	0	9.99515
	83	0	9.99509
	84	0	9.99503
	85	0	9.99497
	86	0	9.99491
	87	0	9.99485
	88	0	9.99478
	89	0	9.99472
	90	0	9.99466
	91	0	9.9946
	92	0	9.99454
	93	0	9.99448
	94	0	9.99441
	95	0	9.99435
	96	0	9.99429
	97	0	9.99423
	98	0	9.99417
	99	0	9.99411
	100	0	9.99404
	101	0	9.99398
	102	0	9.99392
	103	0	9.99386
	104	0	9.9938
	105	0	9.99373
	106	0	9.99367
	107	0	9.99361
	108	0	9.99355
	109	0	9.99349
	110	0	9.99343
	111	0	9.99336
	112	0	9.9933
	113	0	9.99324
	114	0	9.99318
	115	0	9.99312
	116	0	9.99306
	117	0	9.99299
	118	0	9.99293
	119	0	9.99287
	120	0	9.99281
	121	0	9.99275
	122	0	9.99269
	123	0	9.99262
	124	0	9.99256
	125	0	9.9925
	126	0	9.99244
	127	0	9.99238
	128	0	9.99232
	129	0	9.99225
	130	0	9.99219
	131	0	9.99213
	132	0	9.99207
	133	0	9.99201
	134	0	9.99195
	135	0	9.99188
	136	0	9.99182
	137	0	9.99176
	138	0	9.9917
	139	0	9.99164
	140	0	9.99158
	141	0	9.99151
	142	0	9.99145
	143	0	9.99139
	144	0	9.99133
	145	0	9.99127
	146	0	9.99121
	147	0	9.99114
	148	0	9.99108
	149	0	9.99102
	150	0	9.99096
	151	0	9.9909
	152	0	9.99084
	153	0	9.99077
	154	0	9.99071
	155	0	9.99065
	156	0	9.99059
	157	0	9.99053
	158	0	9.99047
	159	0	9.9904
	160	0	9.99034
	161	0	9.99028
	162	0	9.99022
	163	0	9.99016
	164	0	9.9901
	165	0	9.99003
	166	0	9.98997
	167	0	9.98991
	168	0	9.98985
	169	0	9.98979
	170	0	9.98973
	171	0	9.98966
	172	0	9.9896
	173	0	9.98954
	174	0	9.98948
	175	0	9.98942
	176	0	9.98936
	177	0	9.98929
	178	0	9.98923
	179	0	9.98917
	180	0	9.98911
	181	0	9.98905
	182	0	9.98899
	183	0	9.98892
	184	0	9.98886
	185	0	9.9888
	186	0	9.98874
	187	0	9.98868
	188	0	9.98862
	189	0	9.98855
	190	0	9.98849
	191	0	9.98843
	192	0	9.98837
	193	0	9.98831
	194	0	9.98825
	195	0	9.98818
	196	0	9.98812
	197	0	9.98806
	198	0	9.988
	199	0	9.98794
	200	0	9.98788
	201	0	9.98782
	202	0	9.98775
	203	0	9.98769
	204	0	9.98763
	205	0	9.98757
	206	0	9.98751
	207	0	9.98745
	208	0	9.98738
	209	0	9.98732
	210	0	9.98726
	211	0	9.9872
	212	0	9.98714
	213	0	9.98708
	214	0	9.98701
	215	0	9.98695
	216	0	9.98689
	217	0	9.98683
	218	0	9.98677
	219	0	9.98671
	220	0	9.98664
	221	0	9.98658
	222	0	9.98652
	223	0	9.98646
	224	0	9.9864
	225	0	9.98634
	226	0	9.98627
	227	0	9.98621
	228	0	9.98615
	229	0	9.98609
	230	0	9.98603
	231	0	9.98597
	232	0	9.98591
	233	0	9.98584
	234	0	9.98578
	235	0	9.98572
	236	0	9.98566
	237	0	9.9856
	238	0	9.98554
	239	0	9.98547
	240	0	9.98541
	241	0	9.98535
	242	0	9.98529
	243	0	9.98523
	244	0	9.98517
	245	0	9.9851
	246	0	9.98504
	247	0	9.98498
	248	0	9.98492
	249	0	9.98486
	250	0	9.9848
	251	0	9.98473
	252	0	9.98467
	253	0	9.98461
	254	0	9.98455
	255	0	9.98449
	256	0	9.98443
	257	0	9.98437
	258	0	9.9843
	259	0	9.98424
	260	0	9.98418
	261	0	9.98412
	262	0	9.98406
	263	0	9.984
	264	0	9.98393
	265	0	9.98387
	266	0	9.98381
	267	0	9.98375
	268	0	9.98369
	269	0	9.98363
	270	0	9.98356
	271	0	9.9835
	272	0	9.98344
	273	0	9.98338
	274	0	9.98332
	275	0	9.98326
	276	0	9.9832
	277	0	9.98313
	278	0	9.98307
	279	0	9.98301
	280	0	9.98295
	281	0	9.98289
	282	0	9.98283
	283	0	9.98276
	284	0	9.9827
	285	0	9.98264
	286	0	9.98258
	287	0	9.98252
	288	0	9.98246
	289	0	9.98239
	290	0	9.98233
	291	0	9.98227
	292	0	9.98221
	293	0	9.98215
	294	0	9.98209
	295	0	9.98203
	296	0	9.98196
	297	0	9.9819
	298	0	9.98184
	299	0	9.98178
	300	0	9.98172
	301	0	9.98166
	302	0	9.98159
	303	0	9.98153
	304	0	9.98147
	305	0	9.98141
	306	0	9.98135
	307	0	9.98129
	308	0	9.98123
	309	0	9.98116
	310	0	9.9811
	311	0	9.98104
	312	0	9.98098
	313	0	9.98092
	314	0	9.98086
	315	0	9.98079
	316	0	9.98073
	317	0	9.98067
	318	0	9.98061
	319	0	9.98055
	320	0	9.98049
	321	0	9.98043
	322	0	9.98036
	323	0	9.9803
	324	0	9.98024
	325	0	9.98018
	326	0	9.98012
	327	0	9.98006
	328	0	9.97999
	329	0	9.97993
	330	0	9.97987
	331	0	9.97981
	332	0	9.97975
	333	0	9.97969
	334	0	9.97963
	335	0	9.97956
	336	0	9.9795
	337	0	9.97944
	338	0	9.97938
	339	0	9.97932
	340	0	9.97926
	341	0	9.97919
	342	0	9.97913
	343	0	9.97907
	344	0	9.97901
	345	0	9.97895
	346	0	9.97889
	347	0	9.97883
	348	0	9.97876
	349	0	9.9787
	350	0	9.97864
	351	0	9.97858
	352	0	9.97852
	353	0	9.97846
	354	0	9.9784
	355	0	9.97833
	356	0	9.97827
	357	0	9.97821
	358	0	9.97815
	359	0	9.97809
	360	0	9.97803
	361	0	9.97796
	362	0	9.9779
	363	0	9.97784
	364	0	9.97778
	365	0	9.97772
	366	0	9.97766
	367	0	9.9776
	368	0	9.97753
	369	0	9.97747
	370	0	9.97741
	371	0	9.97735
	372	0	9.97729
	373	0	9.97723
	374	0	9.97717
	375	0	9.9771
	376	0	9.97704
	377	0	9.97698
	378	0	9.97692
	379	0	9.97686
	380	0	9.9768
	381	0	9.97673
	382	0	9.97667
	383	0	9.97661
	384	0	9.97655
	385	0	9.97649
	386	0	9.97643
	387	0	9.97637
	388	0	9.9763
	389	0	9.97624
	390	0	9.97618
	391	0	9.97612
	392	0	9.97606
	393	0	9.976
	394	0	9.97594
	395	0	9.97587
	396	0	9.97581
	397	0	9.97575
	398	0	9.97569
	399	0	9.97563
	400	0	9.97557
	401	0	9.9755
	402	0	9.97544
	403	0	9.97538
	404	0	9.97532
	405	0	9.97526
	406	0	9.9752
	407	0	9.97514
	408	0	9.97507
	409	0	9.97501
	410	0	9.97495
	411	0	9.97489
	412	0	9.97483
	413	0	9.97477
	414	0	9.97471
	415	0	9.97464
	416	0	9.97458
	417	0	9.97452
	418	0	9.97446
	419	0	9.9744
	420	0	9.97434
	421	0	9.97428
	422	0	9.97421
	423	0	9.97415
	424	0	9.97409
	425	0	9.97403
	426	0	9.97397
	427	0	9.97391
	428	0	9.97385
	429	0	9.97378
	430	0	9.97372
	431	0	9.97366
	432	0	9.9736
	433	0	9.97354
	434	0	9.97348
