	t	x	y
	0	1500	10
	1	1500.04	9.99997
	2	1500.08	9.99994
	3	1500.12	9.99991
	4	1500.16	9.99989
	5	1500.21	9.99986
	6	1500.26	9.99983
	7	1500.32	9.9998
	8	1500.38	9.99977
	9	1500.45	9.99974
	10	1500.52	9.99972
	11	1500.59	9.99969
	12	1500.67	9.99966
	13	1500.76	9.99963
	14	1500.85	9.9996
	15	1500.95	9.99957
	16	1501.05	9.99955
	17	1501.17	9.99952
	18	1501.29	9.99949
	19	1501.42	9.99946
	20	1501.56	9.99943
	21	1501.71	9.9994
	22	1501.87	9.99938
	23	1502.04	9.99935
	24	1502.23	9.99932
	25	1502.42	9.99929
	26	1502.63	9.99926
	27	1502.86	9.99923
	28	1503.1	9.99921
	29	1503.36	9.99918
	30	1503.63	9.99915
	31	1524.61	7.99931
	32	1547.03	7.9993
	33	1571	7.99928
	34	1596.62	7.99927
	35	1624.01	7.99926
	36	1653.29	7.99925
	37	1684.58	7.99924
	38	1718.04	7.99923
	39	1753.8	7.99922
	40	1792.02	7.99922
	41	1832.88	7.99921
	42	1876.56	7.9992
	43	1923.25	7.9992
	44	1973.16	7.99919
	45	2026.51	7.99919
	46	2083.54	7.99918
	47	2144.5	7.99918
	48	2209.67	7.99918
	49	2279.32	7.99918
	50	2353.78	7.99918
	51	2433.37	7.99919
	52	2518.45	7.99919
	53	2609.4	7.9992
	54	2706.61	7.9992
	55	2810.52	7.99921
	56	2921.6	7.99923
	57	3040.34	7.99924
	58	3167.26	7.99925
	59	3302.93	7.99927
	60	3447.94	7.99929
	61	3619.5	6.39946
	62	3802.89	6.39949
	63	3998.91	6.39952
	64	4208.44	6.39955
	65	4432.4	6.39959
	66	4671.81	6.39963
	67	4927.71	6.39967
	68	5201.24	6.39972
	69	5493.61	6.39977
	70	5806.13	6.39982
	71	6140.18	6.39988
	72	6497.24	6.39994
	73	6878.9	6.40001
	74	7286.84	6.40009
	75	7722.88	6.40017
	76	8188.94	6.40026
	77	8687.09	6.40035
	78	9219.54	6.40046
	79	9788.65	6.40057
	80	10396.9	6.40068
	81	11047.1	6.40081
	82	11742	6.40095
	83	12484.6	6.40109
	84	13278.4	6.40125
	85	14126.8	6.40142
	86	15033.5	6.4016
	87	16002.6	6.4018
	88	17038.3	6.40201
	89	18145.2	6.40223
	90	19328.1	6.40247
	91	20605.6	5.12219
	92	21970.7	5.12241
	93	23429.6	5.12266
	94	24988.7	5.12292
	95	26654.7	5.12319
	96	28435	5.12349
	97	30337.4	5.12381
	98	32370.1	5.12415
	99	34542.1	5.12451
	100	36862.9	5.1249
	101	39342.5	5.12532
	102	41991.7	5.12577
	103	44822.1	5.12624
	104	47845.9	5.12675
	105	51076.2	5.1273
	106	54526.9	5.12789
	107	58213	5.12851
	108	62150.2	5.12918
	109	66355.5	5.1299
	110	70846.9	5.13066
	111	75643.5	5.13148
	112	80765.8	5.13235
	113	86235.5	5.13329
	114	92075.7	5.13429
	115	98311	5.13536
	116	104968	5.1365
	117	112074	5.13772
	118	119658	5.13902
	119	127753	5.14042
	120	136391	5.14191
	121	145619	4.1148
	122	155465	4.11617
