	t	x	y
	220	1.22789e+06	2.60989
	221	1.30154e+06	2.61722
	222	1.37891e+06	2.62501
	223	1.4601e+06	2.63329
	224	1.54522e+06	2.64208
	225	1.63436e+06	2.65142
	226	1.72758e+06	2.66133
	227	1.82497e+06	2.67183
	228	1.92657e+06	2.68298
	229	2.03242e+06	2.69479
	230	2.14254e+06	2.7073
	231	2.25694e+06	2.72054
	232	2.3756e+06	2.73456
	233	2.49849e+06	2.74939
	234	2.62555e+06	2.76507
	235	2.75669e+06	2.78163
	236	2.89182e+06	2.79912
	237	3.0308e+06	2.81757
	238	3.17348e+06	2.83704
	239	3.31967e+06	2.85755
	240	3.46918e+06	2.87916
	241	3.62177e+06	2.9019
	242	3.7772e+06	2.92583
	243	3.93517e+06	2.95098
	244	4.09541e+06	2.97739
	245	4.25759e+06	3.00512
	246	4.42138e+06	3.0342
	247	4.58645e+06	3.06469
	248	4.75242e+06	3.09661
	249	4.91895e+06	3.13003
	250	5.08565e+06	3.16498
	251	5.25216e+06	3.2015
	252	5.41811e+06	3.23964
	253	5.58314e+06	3.27943
	254	5.74689e+06	3.32093
	255	5.90902e+06	3.36417
	256	6.0692e+06	3.40919
	257	6.2271e+06	3.45604
	258	6.38245e+06	3.50474
	259	6.53495e+06	3.55535
	260	6.68436e+06	3.6079
	261	6.83046e+06	3.66243
	262	6.97303e+06	3.71897
	263	7.1119e+06	3.77756
	264	7.24691e+06	3.83825
	265	7.37793e+06	3.90106
	266	7.50487e+06	3.96603
	267	7.62763e+06	4.0332
	268	7.74617e+06	4.10261
	269	7.86044e+06	4.1743
	270	7.97043e+06	4.24829
	271	8.07615e+06	4.32463
	272	8.17762e+06	4.40335
	273	8.27488e+06	4.4845
	274	8.36799e+06	4.5681
	275	8.457e+06	4.65421
	276	8.542e+06	4.74285
	277	8.62307e+06	4.83407
	278	8.70032e+06	4.92792
	279	8.77385e+06	5.02442
	280	8.84377e+06	5.12363
	281	8.9102e+06	5.22559
	282	8.97324e+06	5.33034
	283	9.03304e+06	5.43794
	284	9.0897e+06	5.54842
	285	9.14335e+06	5.66184
	286	9.19411e+06	5.77825
	287	9.24211e+06	5.89769
	288	9.28747e+06	6.02023
	289	9.33031e+06	6.14592
	290	9.37074e+06	6.27481
	291	9.40888e+06	6.40696
